Product Id,Product Handle,Product Title,Product Status,Product Description,Product Subtitle,Product External Id,Product Thumbnail,Product Collection Id,Product Type Id,Product Created At,Product Deleted At,Product Discountable,Product Height,Product Hs Code,Product Image 1,Product Image 2,Product Image 3,Product Image 4,Product Is Giftcard,Product Length,Product Material,Product Mid Code,Product Origin Country,Product Sales Channel 1,Product Updated At,Product Weight,Product Width,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Origin Country,Variant Price EUR,Variant Price USD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
prod_01JRAK371EMTMPF0M0DY0AYRCJ,sweatshirt,Medusa Sweatshirt,published,"Reimagine the feeling of a classic sweatshirt. With our cotton sweatshirt, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,,,2025-02-05T14:01:23.353Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-back.png,,,false,,,,,sc_01JKB6MKKAT3YDG9JMFXS0GFR9,2025-02-05T14:01:23.353Z,400,,variant_01JRAK373ACJK0TC51G4V1RZA4,S,SWEATSHIRT-S,,,,,true,false,,2025-02-05T14:01:23.420Z,,,,,,Size,S,,,,10,15,prod_01JRAK371EMTMPF0M0DY0AYRCJ,2025-02-05T14:01:23.420Z,0,,
prod_01JRAK371EMTMPF0M0DY0AYRCJ,sweatshirt,Medusa Sweatshirt,published,"Reimagine the feeling of a classic sweatshirt. With our cotton sweatshirt, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,,,2025-02-05T14:01:23.353Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-back.png,,,false,,,,,sc_01JKB6MKKAT3YDG9JMFXS0GFR9,2025-02-05T14:01:23.353Z,400,,variant_01JRAK373ABSXQCN5V6HKN3N6R,M,SWEATSHIRT-M,,,,,true,false,,2025-02-05T14:01:23.420Z,,,,,,Size,M,,,,10,15,prod_01JRAK371EMTMPF0M0DY0AYRCJ,2025-02-05T14:01:23.420Z,0,,
prod_01JRAK371EMTMPF0M0DY0AYRCJ,sweatshirt,Medusa Sweatshirt,published,"Reimagine the feeling of a classic sweatshirt. With our cotton sweatshirt, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,,,2025-02-05T14:01:23.353Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-back.png,,,false,,,,,sc_01JKB6MKKAT3YDG9JMFXS0GFR9,2025-02-05T14:01:23.353Z,400,,variant_01JRAK373A8E5B4QT0WG7CW96Y,L,SWEATSHIRT-L,,,,,true,false,,2025-02-05T14:01:23.420Z,,,,,,Size,L,,,,10,15,prod_01JRAK371EMTMPF0M0DY0AYRCJ,2025-02-05T14:01:23.420Z,0,,
prod_01JRAK371EMTMPF0M0DY0AYRCJ,sweatshirt,Medusa Sweatshirt,published,"Reimagine the feeling of a classic sweatshirt. With our cotton sweatshirt, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,,,2025-02-05T14:01:23.353Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-back.png,,,false,,,,,sc_01JKB6MKKAT3YDG9JMFXS0GFR9,2025-02-05T14:01:23.353Z,400,,variant_01JRAK373ASZ0WN7EXJ25E2R84,XL,SWEATSHIRT-XL,,,,,true,false,,2025-02-05T14:01:23.420Z,,,,,,Size,XL,,,,10,15,prod_01JRAK371EMTMPF0M0DY0AYRCJ,2025-02-05T14:01:23.420Z,0,,
prod_01JRAK371FDFYV6AD2KBAE7FGX,shorts,Medusa Shorts,published,"Reimagine the feeling of classic shorts. With our cotton shorts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,,,2025-02-05T14:01:23.353Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-back.png,,,false,,,,,sc_01JKB6MKKAT3YDG9JMFXS0GFR9,2025-02-05T14:01:23.353Z,400,,variant_01JRAK373B4FX931CHS7X8M2MZ,S,SHORTS-S,,,,,true,false,,2025-02-05T14:01:23.420Z,,,,,,Size,S,,,,10,15,prod_01JRAK371FDFYV6AD2KBAE7FGX,2025-02-05T14:01:23.420Z,0,,
prod_01JRAK371FDFYV6AD2KBAE7FGX,shorts,Medusa Shorts,published,"Reimagine the feeling of classic shorts. With our cotton shorts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,,,2025-02-05T14:01:23.353Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-back.png,,,false,,,,,sc_01JKB6MKKAT3YDG9JMFXS0GFR9,2025-02-05T14:01:23.353Z,400,,variant_01JRAK373BZ9CWCR4R835KNX3H,M,SHORTS-M,,,,,true,false,,2025-02-05T14:01:23.420Z,,,,,,Size,M,,,,10,15,prod_01JRAK371FDFYV6AD2KBAE7FGX,2025-02-05T14:01:23.420Z,0,,
prod_01JRAK371FDFYV6AD2KBAE7FGX,shorts,Medusa Shorts,published,"Reimagine the feeling of classic shorts. With our cotton shorts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,,,2025-02-05T14:01:23.353Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-back.png,,,false,,,,,sc_01JKB6MKKAT3YDG9JMFXS0GFR9,2025-02-05T14:01:23.353Z,400,,variant_01JRAK373CVZ4XNHAQ3EENNJWS,L,SHORTS-L,,,,,true,false,,2025-02-05T14:01:23.420Z,,,,,,Size,L,,,,10,15,prod_01JRAK371FDFYV6AD2KBAE7FGX,2025-02-05T14:01:23.420Z,0,,
prod_01JRAK371FDFYV6AD2KBAE7FGX,shorts,Medusa Shorts,published,"Reimagine the feeling of classic shorts. With our cotton shorts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,,,2025-02-05T14:01:23.353Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-back.png,,,false,,,,,sc_01JKB6MKKAT3YDG9JMFXS0GFR9,2025-02-05T14:01:23.353Z,400,,variant_01JRAK373CSCY4AE4Q3B3Z3WZR,XL,SHORTS-XL,,,,,true,false,,2025-02-05T14:01:23.420Z,,,,,,Size,XL,,,,10,15,prod_01JRAK371FDFYV6AD2KBAE7FGX,2025-02-05T14:01:23.420Z,0,,
prod_01JRAK371FY203R7AAPZS9B69S,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-02-05T14:01:23.353Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JKB6MKKAT3YDG9JMFXS0GFR9,2025-02-05T14:01:23.353Z,400,,variant_01JRAK373AHHXJ7MTXAYF4X26T,S / Black,SHIRT-S-BLACK,,,,,true,false,,2025-02-05T14:01:23.419Z,,,,,,Size,S,Color,Black,,10,15,prod_01JRAK371FY203R7AAPZS9B69S,2025-02-05T14:01:23.419Z,0,,
prod_01JRAK371FY203R7AAPZS9B69S,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-02-05T14:01:23.353Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JKB6MKKAT3YDG9JMFXS0GFR9,2025-02-05T14:01:23.353Z,400,,variant_01JRAK373BDXQVWHZ1VKZ73SKG,S / White,SHIRT-S-WHITE,,,,,true,false,,2025-02-05T14:01:23.419Z,,,,,,Size,S,Color,White,,10,15,prod_01JRAK371FY203R7AAPZS9B69S,2025-02-05T14:01:23.419Z,0,,
